,year,avg_temp,Moving Average
Global,1990,9.23,#N/A
Global,1991,9.18,#N/A
Global,1992,8.84,9.08
Global,1993,8.87,8.96
Global,1994,9.04,8.92
Global,1995,9.35,9.09
Global,1996,9.04,9.14
Global,1997,9.2,9.20
Global,1998,9.52,9.25
Global,1999,9.29,9.34
Global,2000,9.2,9.34
Global,2001,9.41,9.30
Global,2002,9.57,9.39
Global,2003,9.53,9.50
Global,2004,9.32,9.47
Global,2005,9.7,9.52
Global,2006,9.53,9.52
Global,2007,9.73,9.65
Global,2008,9.43,9.56
Global,2009,9.51,9.56
Global,2010,9.7,9.55
Global,2011,9.52,9.58
Global,2012,9.51,9.58
Global,2013,9.61,9.55
