city,year,avg_temp,Moving Average
Seoul,1990,11.86,#N/A
Seoul,1991,11.39,#N/A
Seoul,1992,11.48,11.58
Seoul,1993,11.02,11.30
Seoul,1994,12.32,11.61
Seoul,1995,11.27,11.54
Seoul,1996,11.13,11.57
Seoul,1997,11.7,11.37
Seoul,1998,12.66,11.83
Seoul,1999,12.13,12.16
Seoul,2000,11.42,12.07
Seoul,2001,11.6,11.72
Seoul,2002,11.8,11.61
Seoul,2003,11.8,11.73
Seoul,2004,12.25,11.95
Seoul,2005,11.16,11.74
Seoul,2006,12.01,11.81
Seoul,2007,12.25,11.81
Seoul,2008,11.96,12.07
Seoul,2009,11.84,12.02
Seoul,2010,11.3,11.70
Seoul,2011,11.12,11.42
Seoul,2012,11.23,11.22
Seoul,2013,12.12,11.49
